run_id,umap_n_neighbors,umap_min_dist,umap_n_components,hdbscan_min_cluster_size,hdbscan_min_samples,status
195,25,0.3,5,30,15,PENDING
196,25,0.3,5,50,5,PENDING
197,25,0.3,5,50,10,PENDING
198,25,0.3,5,50,15,PENDING
199,25,0.3,5,100,5,PENDING
200,25,0.3,5,100,10,PENDING
201,25,0.3,5,100,15,PENDING
202,25,0.3,5,150,5,PENDING
203,25,0.3,5,150,10,PENDING
204,25,0.3,5,150,15,PENDING
205,25,0.3,10,30,5,PENDING
206,25,0.3,10,30,10,PENDING
207,25,0.3,10,30,15,PENDING
208,25,0.3,10,50,5,PENDING
209,25,0.3,10,50,10,PENDING
210,25,0.3,10,50,15,PENDING
211,25,0.3,10,100,5,PENDING
212,25,0.3,10,100,10,PENDING
213,25,0.3,10,100,15,PENDING
214,25,0.3,10,150,5,PENDING
215,25,0.3,10,150,10,PENDING
216,25,0.3,10,150,15,PENDING
217,50,0.0,5,30,5,PENDING
218,50,0.0,5,30,10,PENDING
219,50,0.0,5,30,15,PENDING
220,50,0.0,5,50,5,PENDING
221,50,0.0,5,50,10,PENDING
222,50,0.0,5,50,15,PENDING
223,50,0.0,5,100,5,PENDING
224,50,0.0,5,100,10,PENDING
225,50,0.0,5,100,15,PENDING
226,50,0.0,5,150,5,PENDING
227,50,0.0,5,150,10,PENDING
228,50,0.0,5,150,15,PENDING
229,50,0.0,10,30,5,PENDING
230,50,0.0,10,30,10,PENDING
231,50,0.0,10,30,15,PENDING
232,50,0.0,10,50,5,PENDING
233,50,0.0,10,50,10,PENDING
234,50,0.0,10,50,15,PENDING
235,50,0.0,10,100,5,PENDING
236,50,0.0,10,100,10,PENDING
237,50,0.0,10,100,15,PENDING
238,50,0.0,10,150,5,PENDING
239,50,0.0,10,150,10,PENDING
240,50,0.0,10,150,15,PENDING
241,50,0.1,5,30,5,PENDING
242,50,0.1,5,30,10,PENDING
243,50,0.1,5,30,15,PENDING
244,50,0.1,5,50,5,PENDING
245,50,0.1,5,50,10,PENDING
246,50,0.1,5,50,15,PENDING
247,50,0.1,5,100,5,PENDING
248,50,0.1,5,100,10,PENDING
249,50,0.1,5,100,15,PENDING
250,50,0.1,5,150,5,PENDING
251,50,0.1,5,150,10,PENDING
252,50,0.1,5,150,15,PENDING
253,50,0.1,10,30,5,PENDING
254,50,0.1,10,30,10,PENDING
255,50,0.1,10,30,15,PENDING
256,50,0.1,10,50,5,PENDING
257,50,0.1,10,50,10,PENDING
258,50,0.1,10,50,15,PENDING
259,50,0.1,10,100,5,PENDING
260,50,0.1,10,100,10,PENDING
261,50,0.1,10,100,15,PENDING
262,50,0.1,10,150,5,PENDING
263,50,0.1,10,150,10,PENDING
264,50,0.1,10,150,15,PENDING
265,50,0.3,5,30,5,PENDING
266,50,0.3,5,30,10,PENDING
267,50,0.3,5,30,15,PENDING
268,50,0.3,5,50,5,PENDING
269,50,0.3,5,50,10,PENDING
270,50,0.3,5,50,15,PENDING
271,50,0.3,5,100,5,PENDING
